Unnamed: 0,id,age,Ethnicity,gender,i,response,reaction_time,accuracy,img_emotion,img_ethnicity,img_gender,img_trigger,res_trigger,acc_trigger,ethnicity_trigger
112,ah,40,Danish,male,./final_images\BF18_HO_happy.jpg,i,114.96885429997928,correct,happy,black,female,20,200,220,22
113,ah,40,Danish,male,./final_images\WF03_HO_happy.jpg,i,115.883820499992,correct,happy,white,female,20,200,220,23
114,ah,40,Danish,male,./final_images\AF07_HC_happy.jpg,i,116.79581129993312,correct,happy,asian,female,20,200,220,21
115,ah,40,Danish,male,./final_images\WF02_NO_neutral.jpg,e,117.99983579991384,neutral,neutral,white,female,40,100,140,43
116,ah,40,Danish,male,./final_images\BF05_NC_neutral.jpg,e,118.87678069993854,neutral,neutral,black,female,40,100,140,42
117,ah,40,Danish,male,./final_images\BF01_SC_sad.jpg,e,119.87378929997794,correct,sad,black,female,30,100,130,32
118,ah,40,Danish,male,./final_images\WM08_HO_happy.jpg,i,120.6697559999302,correct,happy,white,male,20,200,220,23
119,ah,40,Danish,male,./final_images\BF12_HO_happy.jpg,i,121.51988709997386,correct,happy,black,female,20,200,220,22
120,ah,40,Danish,male,./final_images\BM14_SC_sad.jpg,e,122.37279969989322,correct,sad,black,male,30,100,130,32
121,ah,40,Danish,male,./final_images\WM07_SC_sad.jpg,e,123.18184329988436,correct,sad,white,male,30,100,130,33
122,ah,40,Danish,male,./final_images\AF11_SO_sad.jpg,e,125.07576939999126,correct,sad,asian,female,30,100,130,31
123,ah,40,Danish,male,./final_images\WM13_SO_sad.jpg,e,125.8807238000445,correct,sad,white,male,30,100,130,33
124,ah,40,Danish,male,./final_images\AF12_HC_happy.jpg,i,126.70277269999497,correct,happy,asian,female,20,200,220,21
125,ah,40,Danish,male,./final_images\BF16_SO_sad.jpg,e,128.5067481000442,correct,sad,black,female,30,100,130,32
126,ah,40,Danish,male,./final_images\BF13_NC_neutral.jpg,e,129.3767690998502,neutral,neutral,black,female,40,100,140,42
127,ah,40,Danish,male,./final_images\AF01_HO_happy.jpg,i,130.28985119983554,correct,happy,asian,female,20,200,220,21
128,ah,40,Danish,male,./final_images\BF04_NO_neutral.jpg,e,131.41686569992453,neutral,neutral,black,female,40,100,140,42
129,ah,40,Danish,male,./final_images\BM18_SC_sad.jpg,e,132.6167703999672,correct,sad,black,male,30,100,130,32
130,ah,40,Danish,male,./final_images\WF04_SO_sad.jpg,e,133.63680400000885,correct,sad,white,female,30,100,130,33
